Marca,Modelo,Ano_Fabricacao,Ano_Modelo,Quilometragem,Combustivel,Cambio,Cor,Num_Portas,Estado_Venda,Preco_Listagem,Foi_Vendido
Jeep,Compass,2021,2021,67221,Flex,Manual,Vermelho,4,ES,47115,1
Fiat,Strada,2007,2008,166658,Flex,Manual,Vermelho,4,BA,10000,0
Chevrolet,Cruze,2012,2012,235856,Diesel,CVT,Prata,4,RS,10000,0
Toyota,Corolla,2023,2024,6939,Flex,Automático,Prata,4,SC,82275,1
Renault,Duster,2008,2008,242093,Flex,Automático,Vermelho,4,ES,10000,0
Chevrolet,Prisma,2012,2013,219761,Flex,Manual,Preto,4,SP,10000,0
Volkswagen,Saveiro,2024,2024,10887,Flex,CVT,Preto,4,GO,51809,1
Ford,Fiesta,2010,2011,291865,Flex,Automático,Marrom,4,ES,10000,0
Peugeot,2008,2008,2008,252713,Flex,Automático,Preto,4,SP,10000,0
Toyota,RAV4,2023,2024,16505,Flex,Automático,Azul,4,ES,96076,1
Ford,Fiesta,2015,2015,61109,Flex,Manual,Prata,4,CE,17640,0
Jeep,Compass,2005,2005,275816,Gasolina,Manual,Azul,2,CE,10000,0
Hyundai,Tucson,2008,2008,265924,Flex,Automático,Branco,2,SP,10000,0
Citroën,C4 Cactus,2007,2007,205595,Flex,Automático,Prata,4,GO,10000,0
Toyota,SW4,2014,2015,165841,Flex,Automatizado,Marrom,4,RJ,19366,0
Hyundai,HB20,2023,2024,27359,Flex,Manual,Branco,4,GO,52836,1
Ford,Fiesta,2011,2011,140432,Flex,Manual,Prata,4,SP,10000,0
Renault,Oroch,2010,2011,245486,Flex,Automatizado,Vermelho,4,RJ,10000,0
Volkswagen,Jetta,2018,2019,102700,Flex,Manual,Marrom,2,SP,17195,1
Peugeot,2008,2007,2007,192070,Flex,Automático,Branco,4,ES,10000,0
Peugeot,2008,2021,2022,40603,Flex,Automático,Preto,2,CE,40202,1
Volkswagen,Gol,2012,2013,263740,Flex,Manual,Azul,4,SC,10000,0
Honda,Civic,2009,2010,129673,Gasolina,Manual,Vermelho,2,RS,11992,1
Citroën,C3,2019,2019,74400,Flex,Manual,Marrom,4,SP,25018,0
Honda,Civic,2022,2023,24343,Diesel,CVT,Cinza,4,BA,84577,1
Fiat,Argo,2007,2008,258313,Flex,Manual,Branco,4,SC,10000,1
Ford,Focus,2006,2007,313338,Diesel,Automático,Azul,4,PR,10000,0
Nissan,Sentra,2008,2008,284797,Flex,Manual,Azul,4,BA,10000,0
Fiat,Pulse,2025,2025,1853,Flex,Automático,Marrom,4,CE,49127,1
Peugeot,208,2008,2009,150841,Flex,Automatizado,Cinza,2,MG,10000,0
Nissan,March,2013,2014,203802,Flex,Automático,Azul,2,GO,10000,0
Ford,Ranger,2021,2021,36879,Flex,Manual,Cinza,4,PE,47230,1
Fiat,Toro,2008,2009,167075,Flex,Automático,Cinza,2,RJ,10000,0
Honda,City,2020,2021,83506,Flex,Automático,Prata,4,RJ,54608,1
Citroën,Aircross,2008,2009,113088,Flex,Manual,Cinza,4,BA,10674,0
Honda,HR-V,2007,2008,128146,Flex,Automático,Preto,4,PR,11314,1
Hyundai,Creta,2019,2020,68817,Flex,Manual,Prata,4,PE,37437,1
Honda,WR-V,2007,2007,279275,Flex,Automático,Preto,4,PE,10000,0
Citroën,Aircross,2011,2011,163580,Etanol,Manual,Azul,4,CE,10000,0
Citroën,C3,2007,2008,232231,Flex,Automático,Preto,2,PE,10000,0
Renault,Sandero,2009,2010,268747,Flex,Manual,Preto,4,ES,10000,0
Renault,Sandero,2014,2015,98991,Flex,Manual,Prata,4,SP,10737,1
Renault,Kwid,2024,2025,1140,Flex,Manual,Preto,2,RS,42258,1
Toyota,SW4,2024,2024,6760,Flex,CVT,Branco,2,GO,76338,1
Chevrolet,S10,2018,2018,95524,Flex,Manual,Preto,2,PR,14709,0
Jeep,Renegade,2023,2024,21318,Flex,Automático,Prata,2,BA,94838,1
Chevrolet,Onix Plus,2015,2016,82769,Flex,Manual,Vermelho,4,SC,18813,1
Chevrolet,Prisma,2007,2008,253413,Flex,Automático,Preto,4,RJ,10000,0
Honda,Civic,2007,2007,350107,Flex,Automático,Vermelho,4,SC,10000,0
Ford,Fiesta,2022,2022,45080,Flex,Manual,Preto,2,CE,34872,1
Hyundai,HB20S,2006,2007,112440,Gasolina,CVT,Vermelho,4,RJ,10047,0
Volkswagen,Up!,2015,2016,145039,Flex,Manual,Azul,4,CE,10000,0
Honda,HR-V,2013,2014,98664,Flex,Manual,Branco,2,ES,20079,0
Citroën,Aircross,2012,2012,319442,Flex,Manual,Vermelho,4,BA,10000,0
Citroën,C3,2014,2014,139266,Flex,Automático,Preto,2,SP,10000,0
Ford,Ka,2015,2016,212361,Flex,Automático,Marrom,4,SC,10000,0
Renault,Logan,2015,2015,101714,Flex,Automático,Marrom,4,RJ,12007,0
Hyundai,HB20S,2008,2009,123164,Flex,Manual,Prata,4,RS,12242,0
Jeep,Renegade,2008,2009,207187,Flex,Manual,Prata,4,RS,10000,1
Renault,Logan,2012,2013,181392,Flex,Automático,Azul,4,PR,10000,0
Chevrolet,Prisma,2024,2024,8087,Gasolina,Automático,Cinza,2,RJ,67263,1
Jeep,Renegade,2016,2016,49680,Diesel,Manual,Azul,2,DF,36534,0
Renault,Sandero,2008,2009,188040,Flex,Automático,Cinza,2,RJ,10000,0
Renault,Captur,2017,2018,113121,Flex,Automático,Prata,4,CE,16819,0
Toyota,Yaris,2005,2005,272491,Etanol,Automático,Prata,2,GO,10000,0
Jeep,Compass,2007,2007,198560,Flex,Manual,Vermelho,4,SC,10000,0
Volkswagen,Jetta,2005,2006,109777,Flex,Manual,Prata,4,PR,10000,0
Volkswagen,Nivus,2022,2022,70766,Flex,Automático,Branco,4,RJ,39451,0
Toyota,Yaris,2025,2025,1505,Flex,Automático,Cinza,4,DF,98682,1
Citroën,C4 Cactus,2019,2020,94223,Flex,Manual,Prata,4,PE,28669,1
Citroën,C4 Cactus,2012,2013,92735,Flex,Automático,Marrom,4,GO,17301,0
Toyota,Hilux,2023,2023,19146,Flex,Manual,Azul,4,SC,80356,1
Honda,Civic,2011,2012,191682,Flex,Automático,Azul,4,SP,10000,0
Ford,EcoSport,2015,2015,112185,Diesel,Manual,Vermelho,4,SP,14837,0
Hyundai,Tucson,2012,2012,216600,Flex,Manual,Branco,4,BA,10000,0
Jeep,Compass,2014,2015,84203,Flex,CVT,Marrom,4,PR,33885,0
Chevrolet,Onix Plus,2009,2009,152722,Diesel,Manual,Branco,4,DF,10000,0
Honda,HR-V,2011,2011,220750,Flex,Automático,Vermelho,4,PR,10000,0
Honda,HR-V,2008,2009,112371,Flex,Manual,Marrom,4,PE,17555,0
Honda,Fit,2015,2015,99154,Flex,Manual,Cinza,4,GO,25725,1
Chevrolet,Onix,2023,2023,23169,Flex,Manual,Azul,4,SC,28256,1
Jeep,Commander,2007,2007,212874,Flex,Automático,Prata,4,CE,10000,0
Jeep,Compass,2012,2012,127827,Flex,Manual,Branco,2,ES,18937,0
Volkswagen,Tiguan,2005,2005,437704,Flex,Manual,Branco,4,CE,10000,0
Toyota,Yaris,2011,2012,276808,Flex,Manual,Marrom,2,ES,10000,0
Hyundai,Tucson,2010,2011,183865,Gasolina,Automático,Vermelho,4,BA,10000,0
Peugeot,2008,2011,2012,159124,Flex,Manual,Azul,2,CE,10000,0
Ford,Ranger,2023,2024,23163,Flex,Manual,Marrom,4,PR,54370,1
Honda,City,2010,2011,202264,Flex,Automatizado,Vermelho,2,DF,10000,0
Toyota,RAV4,2023,2023,28629,Flex,Manual,Vermelho,4,DF,63999,1
Honda,WR-V,2025,2025,1112,Flex,Manual,Branco,4,RS,91538,1
Honda,Civic,2009,2010,163483,Flex,Manual,Prata,2,BA,10396,0
Honda,Fit,2021,2021,70029,Flex,Manual,Branco,4,BA,41990,1
Jeep,Compass,2007,2007,282192,Flex,Manual,Azul,4,PR,10000,0
Chevrolet,Cobalt,2015,2016,138355,Flex,Automático,Cinza,4,CE,12402,0
Toyota,RAV4,2021,2021,62830,Flex,Manual,Branco,4,ES,65035,1
Volkswagen,Saveiro,2022,2023,27045,Diesel,Automático,Branco,2,SC,45986,1
Honda,WR-V,2011,2012,123635,Flex,Automático,Preto,4,CE,16138,0
Renault,Captur,2005,2005,304018,Etanol,Automático,Prata,4,MG,10000,0
Jeep,Renegade,2010,2011,204768,Flex,Manual,Marrom,4,CE,10000,0
Renault,Sandero,2018,2018,146720,Flex,Manual,Vermelho,4,RS,10000,0
Renault,Clio,2023,2023,18691,Diesel,Manual,Marrom,4,MG,27665,1
Peugeot,208,2012,2012,88884,Flex,Manual,Vermelho,4,RS,11946,1
Jeep,Commander,2012,2012,134790,Flex,Manual,Branco,2,SP,17515,0
Renault,Kwid,2010,2010,294558,Flex,Automático,Preto,2,GO,10000,0
Jeep,Compass,2010,2011,177754,Flex,Manual,Azul,4,SC,12402,0
Jeep,Renegade,2019,2019,69505,Flex,Manual,Preto,4,RJ,50921,1
Jeep,Renegade,2009,2009,159946,Gasolina,CVT,Prata,4,BA,11423,0
Fiat,Mobi,2014,2014,185900,Gasolina,Manual,Azul,4,BA,10000,0
Chevrolet,Cruze,2012,2013,101995,Diesel,Manual,Cinza,2,CE,11764,1
Hyundai,HB20,2013,2013,162343,Gasolina,Automático,Vermelho,4,CE,12563,0
Hyundai,HB20,2005,2005,281471,Flex,Automático,Cinza,4,BA,10000,0
Peugeot,208,2006,2007,220562,Diesel,Automático,Preto,4,ES,10000,0
Honda,Fit,2005,2005,216150,Gasolina,CVT,Branco,4,PE,10000,0
Hyundai,Creta,2013,2014,181950,Flex,Manual,Vermelho,4,SC,10000,1
Ford,Ranger,2011,2012,145621,Flex,Automático,Prata,4,PE,10000,0
Honda,Fit,2019,2020,65569,Flex,Manual,Marrom,2,GO,52027,0
Hyundai,HB20S,2021,2022,55475,Flex,Manual,Azul,4,DF,46049,1
Nissan,March,2010,2010,137682,Flex,Manual,Cinza,4,MG,10000,0
Fiat,Uno,2017,2018,129489,Flex,Manual,Marrom,4,PE,12429,0
Hyundai,i30,2015,2015,184244,Flex,Automático,Prata,2,MG,10366,0
Chevrolet,Prisma,2010,2010,177578,Gasolina,CVT,Vermelho,2,RJ,10000,0
Renault,Clio,2018,2018,98452,Flex,Automatizado,Cinza,4,PR,12363,0
Fiat,Palio,2012,2012,184775,Flex,Automático,Marrom,4,SP,10000,0
Peugeot,208,2020,2020,52918,Flex,CVT,Preto,4,RJ,23782,1
Toyota,SW4,2013,2014,93405,Flex,Manual,Branco,4,PE,25856,0
Toyota,SW4,2014,2014,151515,Flex,Automático,Cinza,2,GO,16689,0
Citroën,Aircross,2008,2008,178932,Gasolina,Manual,Azul,4,DF,10000,0
Citroën,C4 Cactus,2005,2005,231063,Flex,Manual,Vermelho,2,ES,10000,0
Chevrolet,Spin,2013,2014,212156,Flex,CVT,Azul,4,RJ,10000,0
Nissan,Sentra,2012,2013,125890,Flex,Manual,Prata,4,PE,12702,0
Volkswagen,Polo,2021,2022,71455,Flex,Manual,Cinza,4,DF,38218,0
Renault,Captur,2008,2008,199575,Gasolina,Automático,Marrom,4,RS,10000,0
Jeep,Compass,2010,2011,157116,Flex,Automatizado,Cinza,2,SC,10323,0
Chevrolet,Tracker,2018,2018,55242,Flex,Automático,Prata,4,GO,22020,1
Hyundai,Tucson,2010,2010,299157,Gasolina,Automático,Preto,4,PR,10000,0
Volkswagen,Polo,2024,2025,754,Flex,Automático,Marrom,4,PR,48568,1
Toyota,RAV4,2023,2023,38323,Flex,Manual,Preto,2,ES,56398,1
Citroën,C3,2017,2018,91777,Flex,Manual,Preto,4,RS,26349,1
Honda,CR-V,2015,2015,78739,Diesel,Manual,Preto,2,RJ,32060,1
Chevrolet,Cruze,2009,2009,339201,Flex,Automático,Cinza,4,RJ,10000,0
Fiat,Punto,2008,2008,278505,Flex,Automatizado,Vermelho,2,SP,10000,0
Hyundai,HB20S,2018,2018,56520,Flex,Manual,Prata,4,ES,31535,1
Fiat,Mobi,2021,2021,79806,Gasolina,Manual,Cinza,2,BA,20684,1
Chevrolet,S10,2007,2007,304070,Flex,Automático,Azul,4,SP,10000,0
Toyota,SW4,2012,2012,213972,Flex,CVT,Branco,4,RS,10000,1
Hyundai,HB20S,2005,2005,161369,Flex,Automático,Cinza,4,SP,10000,0
Ford,Ka,2025,2025,1877,Flex,Automático,Branco,4,SP,48242,1
Volkswagen,Saveiro,2025,2025,1479,Flex,Manual,Prata,2,CE,63217,1
Peugeot,3008,2010,2011,197803,Flex,Automatizado,Azul,4,PR,10000,0
Nissan,March,2017,2018,111227,Flex,Manual,Prata,4,RS,23893,0
Volkswagen,Gol,2006,2007,156900,Flex,CVT,Vermelho,2,CE,10000,0
Jeep,Commander,2024,2024,8503,Flex,Automatizado,Preto,2,GO,90453,0
Renault,Captur,2010,2011,230207,Flex,Automático,Marrom,4,RJ,10000,0
Renault,Clio,2016,2016,149783,Flex,Manual,Azul,2,RJ,10000,0
Fiat,Siena,2018,2018,57160,Flex,Manual,Prata,2,RS,18730,0
Citroën,C4 Cactus,2012,2012,182824,Diesel,Manual,Cinza,2,PR,10000,0
Chevrolet,Cruze,2018,2019,94328,Flex,Manual,Marrom,4,PE,13098,1
Citroën,C4 Cactus,2022,2023,23856,Gasolina,Manual,Branco,2,CE,49611,1
Chevrolet,Prisma,2015,2016,84922,Flex,CVT,Azul,2,RJ,19991,1
Volkswagen,Voyage,2014,2015,101273,Flex,Automatizado,Vermelho,4,PR,17931,1
Honda,HR-V,2009,2010,210001,Flex,Manual,Cinza,2,SP,10000,0
Hyundai,HB20S,2019,2020,39505,Flex,Manual,Azul,4,GO,39503,1
Chevrolet,Prisma,2009,2009,139593,Flex,Manual,Vermelho,4,MG,10000,0
Citroën,C4 Cactus,2015,2015,137239,Diesel,Manual,Preto,4,GO,12543,0
Fiat,Toro,2010,2011,220839,Flex,Manual,Prata,4,CE,10000,0
Chevrolet,Prisma,2019,2019,135502,Flex,Automático,Preto,4,RS,14676,0
Chevrolet,Cruze,2021,2021,52056,Flex,Automático,Azul,4,CE,38098,0
Renault,Duster,2021,2022,61974,Flex,Manual,Marrom,4,DF,29268,1
Citroën,C4 Cactus,2017,2018,74606,Flex,Automático,Marrom,4,RS,25631,1
Volkswagen,Tiguan,2005,2005,313775,Etanol,Manual,Preto,4,DF,10000,0
Hyundai,i30,2022,2023,33952,Flex,CVT,Preto,4,DF,60721,1
Peugeot,3008,2021,2022,44808,Flex,Manual,Branco,4,DF,38367,0
Nissan,Sentra,2024,2025,1956,Flex,CVT,Prata,2,SC,67480,0
Toyota,RAV4,2007,2007,163228,Flex,Manual,Cinza,4,SC,11110,0
Hyundai,Creta,2017,2017,187512,Flex,Automático,Vermelho,4,BA,12091,0
Nissan,Kicks,2017,2018,152638,Flex,Automático,Marrom,4,DF,16958,0
Jeep,Compass,2014,2015,80286,Flex,Manual,Preto,4,GO,36258,1
Nissan,Kicks,2014,2014,266873,Diesel,Manual,Azul,4,GO,10000,0
Jeep,Compass,2008,2009,99874,Gasolina,Automático,Azul,4,DF,23351,0
Renault,Kwid,2025,2025,2327,Flex,Manual,Prata,4,SP,54621,1
Jeep,Renegade,2021,2022,37500,Flex,Automático,Branco,2,RS,79434,1
Honda,WR-V,2017,2018,44113,Flex,Manual,Preto,2,ES,37192,1
Hyundai,i30,2020,2020,64471,Gasolina,CVT,Branco,4,SP,41846,0
Ford,Fiesta,2017,2018,66094,Flex,Manual,Cinza,4,PR,24478,0
Jeep,Commander,2006,2006,182090,Flex,Manual,Branco,4,SP,10000,0
Hyundai,i30,2008,2009,96981,Flex,Manual,Marrom,4,MG,14898,0
Hyundai,Tucson,2016,2016,83663,Diesel,Automático,Cinza,4,CE,27789,0
Hyundai,i30,2022,2022,38151,Flex,Automático,Vermelho,4,MG,61721,1
Honda,CR-V,2024,2025,1015,Flex,Manual,Branco,4,MG,121796,1
Toyota,Etios,2022,2022,29946,Flex,Manual,Vermelho,4,MG,66340,1
Peugeot,2008,2015,2016,148717,Flex,CVT,Azul,2,ES,10766,0
Nissan,March,2005,2006,367438,Flex,Automático,Marrom,4,ES,10000,0
Toyota,Yaris,2022,2023,35865,Flex,Automático,Preto,4,RJ,78641,1
Peugeot,208,2008,2008,340966,Etanol,Manual,Azul,2,RS,10000,0
Renault,Clio,2008,2009,249515,Flex,Manual,Preto,4,MG,10000,0
Fiat,Toro,2012,2012,226258,Flex,Manual,Cinza,4,PR,10000,0
Honda,HR-V,2021,2021,43460,Gasolina,Manual,Preto,2,SP,64075,1
Nissan,March,2011,2012,236920,Flex,Manual,Azul,4,ES,10000,0
Renault,Oroch,2011,2012,221024,Flex,Automático,Branco,4,GO,10000,0
Jeep,Commander,2021,2022,32667,Flex,CVT,Cinza,4,ES,71182,1
Citroën,C4 Cactus,2019,2019,111233,Flex,Manual,Cinza,2,ES,20441,0
Nissan,Kicks,2007,2007,296179,Diesel,Manual,Azul,4,GO,10000,0
Toyota,Corolla,2011,2011,92973,Flex,Automático,Preto,4,BA,17629,1
Nissan,Versa,2024,2024,6761,Flex,Automático,Branco,2,SC,91172,0
Citroën,C3,2025,2025,1352,Flex,Manual,Marrom,4,RS,56898,1
Citroën,Aircross,2023,2023,21763,Flex,Manual,Cinza,2,MG,42131,1
Nissan,Sentra,2017,2018,64311,Gasolina,Manual,Preto,2,PR,37588,0
Ford,Ranger,2009,2009,275054,Flex,Manual,Vermelho,4,RS,10000,0
Citroën,Aircross,2009,2010,125880,Etanol,Manual,Prata,4,RS,10000,0
Nissan,Sentra,2021,2021,32706,Flex,CVT,Azul,4,SC,54131,0
Jeep,Commander,2009,2009,165839,Flex,Manual,Preto,2,MG,10000,0
Peugeot,3008,2011,2011,186877,Flex,Manual,Cinza,4,CE,10000,0
Honda,City,2013,2013,202329,Flex,Automático,Prata,2,MG,10000,0
Honda,Fit,2015,2016,63445,Flex,Manual,Vermelho,4,SP,38719,1
Hyundai,Tucson,2025,2025,2422,Flex,Automático,Preto,4,MG,101614,1
Honda,CR-V,2011,2011,300915,Flex,CVT,Marrom,2,SC,10000,0
Toyota,Corolla,2020,2021,50822,Flex,Manual,Marrom,4,RJ,58647,1
Renault,Duster,2022,2023,17250,Diesel,Manual,Vermelho,4,PR,49952,1
Jeep,Renegade,2014,2014,225434,Flex,Manual,Preto,2,GO,10000,0
Honda,Civic,2017,2017,146255,Flex,Manual,Cinza,2,SC,21075,0
Citroën,Aircross,2012,2012,202699,Flex,Manual,Branco,4,SP,10000,0
Volkswagen,Up!,2009,2010,157500,Etanol,CVT,Cinza,4,SC,10000,1
Fiat,Argo,2020,2020,60598,Flex,Manual,Azul,4,DF,26398,1
Citroën,Aircross,2006,2006,158095,Diesel,Automático,Azul,4,BA,10000,0
Renault,Oroch,2007,2007,115338,Gasolina,Manual,Cinza,4,MG,10000,0
Citroën,Aircross,2019,2020,50671,Diesel,Manual,Azul,2,CE,27446,0
Hyundai,Creta,2008,2008,101078,Flex,Automático,Azul,2,PR,12814,0
Toyota,Hilux,2018,2018,110008,Flex,Automático,Vermelho,4,PR,38915,1
Hyundai,HB20S,2011,2011,201550,Flex,Manual,Vermelho,4,PR,10000,0
Toyota,Corolla,2010,2011,127207,Flex,Automático,Preto,4,ES,15069,0
Peugeot,208,2016,2017,159972,Diesel,Manual,Marrom,4,CE,11612,0
Fiat,Punto,2012,2012,172676,Flex,Manual,Prata,2,PR,10000,0
Volkswagen,Polo,2021,2021,53291,Gasolina,CVT,Vermelho,4,DF,25797,1
Citroën,Aircross,2011,2011,227209,Flex,CVT,Vermelho,2,GO,10000,0
Citroën,Aircross,2022,2023,36644,Flex,Automático,Vermelho,4,CE,41144,1
Hyundai,Creta,2015,2016,108261,Gasolina,Manual,Prata,4,PR,17274,0
Volkswagen,Saveiro,2017,2017,130903,Flex,Automático,Preto,4,RS,10649,0
Chevrolet,Montana,2014,2015,92591,Flex,Manual,Branco,4,MG,19647,1
Ford,EcoSport,2007,2008,176137,Flex,Manual,Azul,4,RJ,10000,0
Nissan,Versa,2008,2008,290021,Flex,Automático,Preto,2,GO,10000,0
Renault,Clio,2005,2006,156270,Flex,CVT,Prata,4,BA,10000,0
Fiat,Cronos,2018,2018,79223,Flex,Automático,Cinza,4,GO,19517,0
Honda,Civic,2007,2007,211567,Flex,Automático,Branco,2,MG,10000,0
Honda,City,2019,2020,111394,Flex,Manual,Vermelho,4,ES,32501,0
Volkswagen,Saveiro,2022,2023,17890,Flex,Automático,Vermelho,4,GO,37263,1
Nissan,Sentra,2010,2010,192711,Flex,Automático,Branco,2,DF,10000,0
Fiat,Strada,2006,2007,175387,Flex,Manual,Branco,2,ES,10000,1
Renault,Clio,2022,2023,43381,Diesel,Manual,Azul,4,CE,22682,0
Citroën,C4 Cactus,2025,2025,2177,Flex,Manual,Preto,4,CE,51227,1
Nissan,Versa,2022,2022,20670,Flex,Manual,Vermelho,4,SP,49644,0
Hyundai,HB20S,2018,2019,50537,Flex,CVT,Preto,4,SP,42675,0
Chevrolet,Onix Plus,2025,2025,1387,Flex,Manual,Azul,4,SP,47903,1
Hyundai,HB20S,2008,2008,328445,Flex,Manual,Branco,2,SP,10000,0
Jeep,Commander,2014,2015,136184,Diesel,Manual,Cinza,4,RJ,20608,0
Toyota,Hilux,2014,2015,125079,Flex,Manual,Branco,4,GO,22218,0
Peugeot,2008,2012,2013,135786,Flex,Manual,Preto,4,DF,10000,1
Fiat,Punto,2009,2010,211117,Gasolina,Manual,Prata,2,CE,10000,0
Nissan,Kicks,2023,2024,6829,Flex,Automático,Preto,4,RS,75163,1
Chevrolet,Spin,2014,2015,229306,Flex,Manual,Prata,2,RS,10000,0
Ford,Ka,2016,2017,150798,Diesel,Automático,Vermelho,4,DF,16069,0
Toyota,Corolla,2019,2020,38805,Flex,Manual,Prata,2,DF,51950,1
Citroën,C4 Cactus,2018,2019,52007,Flex,Manual,Vermelho,2,PE,36677,1
Hyundai,Creta,2011,2012,119472,Flex,Manual,Azul,4,PR,16738,0
Jeep,Renegade,2024,2024,20142,Flex,Automático,Marrom,4,RJ,100100,1
Ford,EcoSport,2006,2007,223217,Diesel,Manual,Marrom,2,PE,10000,0
Hyundai,i30,2025,2025,1319,Flex,Automático,Prata,4,MG,66418,1
Toyota,Etios,2023,2024,19058,Gasolina,Automático,Cinza,4,ES,110038,1
Toyota,SW4,2006,2007,288837,Gasolina,Automático,Prata,4,MG,10000,0
Hyundai,HB20S,2025,2025,1919,Flex,Automatizado,Prata,4,BA,68476,1
Citroën,Aircross,2020,2021,36139,Flex,Automático,Marrom,4,ES,37444,1
Peugeot,208,2013,2013,168195,Gasolina,Manual,Preto,4,RJ,10000,0
Toyota,Hilux,2008,2008,197233,Flex,Automático,Branco,4,ES,10000,0
Fiat,Strada,2023,2023,19315,Flex,Manual,Cinza,4,SP,28893,1
Honda,HR-V,2023,2024,16162,Gasolina,Manual,Preto,4,MG,87711,1
Honda,HR-V,2005,2005,128406,Flex,Automático,Branco,4,SC,11682,0
Fiat,Argo,2006,2007,227707,Flex,Manual,Cinza,4,ES,10000,0
Chevrolet,Onix,2024,2024,8936,Flex,Manual,Marrom,4,SC,53817,1
Citroën,C4 Cactus,2012,2012,153140,Flex,Manual,Branco,4,SC,10000,0
Hyundai,Tucson,2024,2025,1934,Flex,Manual,Prata,4,BA,77486,1
Jeep,Compass,2006,2006,408353,Diesel,Automático,Azul,2,RJ,10000,0
Chevrolet,Onix Plus,2011,2012,120036,Flex,Manual,Azul,4,BA,10000,0
Nissan,Frontier,2006,2006,295247,Flex,Automático,Cinza,4,GO,10000,0
Hyundai,i30,2011,2012,236353,Flex,Manual,Branco,4,RS,10000,0
Hyundai,i30,2011,2012,184695,Flex,CVT,Preto,4,PE,10000,0
Jeep,Compass,2018,2018,122060,Diesel,Manual,Preto,4,ES,23122,0
Renault,Logan,2019,2020,31296,Flex,Automático,Azul,2,RS,25502,1
Honda,WR-V,2023,2023,29388,Flex,Manual,Vermelho,4,DF,82033,1
Jeep,Compass,2023,2024,26397,Flex,Manual,Vermelho,4,PE,74005,1
Toyota,Etios,2011,2011,133195,Flex,Automático,Prata,4,CE,13457,0
Hyundai,i30,2013,2013,256146,Flex,Manual,Branco,4,BA,10000,0
Volkswagen,Nivus,2014,2014,171401,Flex,Manual,Branco,4,PE,10000,0
Chevrolet,Spin,2008,2009,149254,Diesel,Manual,Azul,4,RS,10000,0
Hyundai,Tucson,2013,2013,159037,Etanol,Manual,Preto,4,BA,10000,0
Toyota,Etios,2025,2025,2019,Flex,Manual,Vermelho,4,GO,96464,1
Fiat,Uno,2023,2023,22938,Flex,CVT,Preto,4,BA,42302,1
Honda,City,2013,2013,288381,Flex,Manual,Prata,2,PE,10000,0
