Marca,Modelo,Ano_Fabricacao,Ano_Modelo,Quilometragem,Combustivel,Cambio,Cor,Num_Portas,Estado_Venda,Preco_Listagem,Foi_Vendido
Hyundai,Tucson,2016,2016,79050,Flex,Manual,Cinza,4,MG,25643,1
Renault,Duster,2011,2012,160954,Flex,Automatizado,Azul,2,CE,10000,0
Chevrolet,Tracker,2024,2024,11021,Flex,Manual,Branco,4,DF,41697,1
Hyundai,HB20,2012,2012,106894,Gasolina,Automático,Branco,4,BA,17040,0
Ford,Fiesta,2024,2024,18305,Flex,Manual,Marrom,4,BA,65018,1
Hyundai,Tucson,2017,2018,76257,Flex,Automático,Branco,4,RS,29281,0
Fiat,Cronos,2009,2010,317417,Flex,Automático,Branco,4,CE,10000,0
Volkswagen,Virtus,2011,2012,159563,Flex,Automático,Prata,4,CE,10000,0
Renault,Sandero,2017,2017,107672,Diesel,Manual,Azul,4,GO,12617,0
Ford,Ranger,2020,2020,32357,Flex,Automático,Azul,2,ES,37361,1
Hyundai,Tucson,2019,2019,66812,Flex,Automático,Vermelho,4,RJ,39180,1
Chevrolet,S10,2023,2024,22284,Flex,Manual,Marrom,4,SC,32488,1
Nissan,Frontier,2017,2018,118664,Flex,CVT,Marrom,4,SC,27983,0
Fiat,Siena,2011,2012,238516,Gasolina,Manual,Branco,4,CE,10000,0
Jeep,Compass,2024,2025,644,Flex,Automático,Marrom,4,PE,105964,1
Nissan,Kicks,2011,2012,215180,Flex,Automático,Azul,4,PR,10000,0
Chevrolet,Montana,2009,2010,258863,Flex,Manual,Vermelho,4,MG,10000,0
Jeep,Renegade,2025,2025,1528,Gasolina,CVT,Azul,4,PE,99564,1
Honda,CR-V,2005,2005,198279,Flex,Automatizado,Azul,2,PR,10000,0
Fiat,Toro,2025,2025,828,Flex,Manual,Vermelho,4,SC,38734,1
Volkswagen,Jetta,2025,2025,980,Flex,Manual,Branco,4,GO,39638,1
Jeep,Commander,2014,2015,80587,Flex,Automático,Marrom,4,SP,29410,0
Citroën,C4 Cactus,2005,2006,417899,Flex,Manual,Marrom,4,SC,10000,0
Ford,Fiesta,2023,2023,34002,Etanol,Manual,Vermelho,4,GO,42885,1
Citroën,C3,2012,2013,207486,Gasolina,Automatizado,Cinza,2,CE,10000,0
Volkswagen,Amarok,2008,2009,304388,Flex,Manual,Vermelho,4,SC,10000,0
Volkswagen,Gol,2016,2017,90628,Flex,Automático,Prata,4,DF,22906,0
Renault,Logan,2017,2018,53345,Diesel,Manual,Marrom,4,SC,26058,0
Nissan,Kicks,2019,2020,90356,Flex,CVT,Cinza,4,BA,36074,0
Honda,Fit,2022,2023,24348,Flex,Manual,Branco,4,RJ,66151,1
Nissan,Frontier,2024,2024,11395,Flex,Automático,Preto,4,MG,73277,0
Renault,Oroch,2019,2019,115325,Gasolina,Manual,Azul,4,PR,17503,1
Renault,Duster,2017,2018,148445,Flex,Automático,Branco,4,ES,14204,0
Jeep,Commander,2012,2012,255766,Flex,Automático,Branco,4,DF,10000,0
Peugeot,208,2014,2015,107544,Flex,CVT,Vermelho,4,PE,17319,0
Hyundai,Creta,2017,2017,41982,Flex,Manual,Preto,2,PR,30610,1
Citroën,C4 Cactus,2015,2016,200154,Flex,Manual,Prata,4,PR,10000,0
Toyota,Hilux,2008,2008,340750,Gasolina,Manual,Branco,2,BA,10000,0
Toyota,SW4,2010,2010,163556,Etanol,Automático,Azul,4,ES,10000,0
Ford,Ranger,2009,2009,324168,Flex,Automático,Cinza,4,RS,10000,1
Jeep,Compass,2025,2025,1143,Flex,CVT,Branco,4,RJ,90412,1
Jeep,Compass,2005,2006,197494,Flex,Manual,Branco,4,RS,10000,0
Honda,Fit,2007,2008,327538,Etanol,Manual,Vermelho,2,RJ,10000,0
Citroën,C3,2021,2022,43540,Flex,Automático,Azul,4,SP,38016,0
Toyota,RAV4,2012,2013,139474,Gasolina,Automático,Cinza,2,SP,19261,0
Honda,HR-V,2025,2025,2065,Flex,Manual,Azul,4,BA,75576,1
Hyundai,Tucson,2020,2020,71750,Etanol,Manual,Marrom,4,ES,42796,0
Chevrolet,Montana,2016,2016,111600,Diesel,Manual,Cinza,4,SC,10000,0
Honda,WR-V,2015,2016,88028,Flex,Manual,Branco,4,SP,36804,1
Jeep,Renegade,2012,2013,289089,Gasolina,Manual,Preto,4,PR,10000,0
Nissan,Kicks,2009,2009,219468,Diesel,Manual,Preto,4,PE,10000,0
Honda,Civic,2014,2015,107416,Flex,Manual,Azul,4,SC,24710,1
Toyota,SW4,2023,2023,23635,Flex,Manual,Azul,4,MG,72812,0
Volkswagen,Up!,2016,2017,179094,Flex,Automático,Cinza,4,ES,10631,0
Ford,Focus,2025,2025,705,Gasolina,Manual,Preto,4,RS,68431,1
Toyota,Corolla,2007,2007,167496,Flex,Manual,Prata,2,RJ,10000,0
Citroën,Aircross,2014,2015,123413,Gasolina,Manual,Vermelho,2,SC,11077,0
Citroën,C4 Cactus,2015,2016,169253,Flex,Manual,Branco,4,RS,10000,0
Peugeot,3008,2010,2010,146923,Flex,Manual,Branco,4,PR,10000,0
Jeep,Compass,2014,2014,163493,Flex,Manual,Cinza,2,PE,13117,1
Peugeot,2008,2010,2010,100213,Diesel,Manual,Azul,4,SC,10069,0
Chevrolet,Cruze,2022,2023,10621,Flex,Manual,Preto,4,BA,54347,1
Fiat,Punto,2020,2020,83833,Flex,Manual,Cinza,2,DF,26042,1
Peugeot,2008,2005,2006,241767,Flex,Manual,Azul,4,PE,10000,0
Hyundai,i30,2022,2022,29435,Diesel,Manual,Branco,4,DF,50651,1
Fiat,Pulse,2008,2008,162913,Flex,Manual,Vermelho,4,ES,10000,0
Nissan,Frontier,2007,2007,151924,Gasolina,Manual,Cinza,4,CE,10000,0
Renault,Logan,2007,2008,256277,Gasolina,Manual,Preto,2,MG,10000,0
Hyundai,i30,2011,2012,100953,Flex,Automático,Cinza,4,SP,20169,1
Citroën,Aircross,2014,2014,116816,Diesel,Manual,Cinza,4,RS,14560,0
Volkswagen,Up!,2018,2018,55121,Flex,Automático,Vermelho,4,SC,17644,0
Volkswagen,Nivus,2023,2024,13972,Flex,Manual,Marrom,2,PR,53403,1
Peugeot,2008,2006,2006,244147,Diesel,Automático,Azul,2,PE,10000,0
Renault,Sandero,2017,2017,110974,Gasolina,Manual,Branco,4,MG,12761,0
Jeep,Renegade,2025,2025,1468,Flex,CVT,Prata,4,DF,102422,1
Nissan,Frontier,2009,2009,213147,Flex,Manual,Cinza,2,PR,10000,0
Ford,Ranger,2006,2006,176544,Flex,Automático,Prata,4,DF,10000,0
Ford,Focus,2016,2017,187604,Flex,Manual,Prata,2,ES,10000,0
Chevrolet,Montana,2025,2025,1269,Flex,Automático,Prata,4,SP,70929,1
Ford,Focus,2013,2014,63919,Gasolina,Manual,Azul,2,MG,14671,0
Fiat,Siena,2023,2024,9229,Flex,Automático,Preto,4,MG,44837,1
Citroën,Aircross,2016,2017,118275,Flex,Manual,Azul,4,CE,16102,0
Nissan,Kicks,2010,2011,313825,Gasolina,Manual,Cinza,4,MG,10000,0
Chevrolet,Cruze,2015,2016,96281,Flex,Automático,Cinza,4,SP,21726,1
Hyundai,HB20,2014,2015,142002,Flex,Automático,Azul,4,RS,15412,0
Volkswagen,Gol,2016,2017,115998,Flex,Automático,Azul,4,SC,20087,0
Volkswagen,Nivus,2009,2010,122039,Flex,Automático,Branco,4,RS,10000,1
Renault,Captur,2007,2007,161910,Flex,Manual,Cinza,4,SP,10000,0
Jeep,Renegade,2017,2017,77965,Flex,Automático,Vermelho,2,BA,27644,1
Hyundai,i30,2015,2015,175957,Flex,Manual,Preto,4,CE,10000,0
Toyota,Etios,2019,2020,55686,Flex,Automático,Marrom,4,SP,73125,1
Jeep,Compass,2018,2018,45903,Flex,Manual,Preto,2,SC,46699,1
Volkswagen,Jetta,2005,2005,303257,Flex,Manual,Azul,2,RJ,10000,0
Fiat,Palio,2008,2008,157947,Flex,Manual,Preto,4,PR,10000,1
Citroën,C3,2019,2019,40301,Flex,Manual,Azul,2,SP,29892,0
Ford,Focus,2020,2021,39677,Flex,Manual,Vermelho,4,SP,35005,1
Renault,Logan,2016,2016,150937,Diesel,CVT,Marrom,2,DF,11011,0
Jeep,Commander,2017,2017,80641,Flex,Manual,Vermelho,4,SC,36557,1
Fiat,Punto,2009,2009,361795,Flex,Automático,Cinza,2,MG,10000,0
Toyota,Yaris,2021,2021,69903,Flex,Manual,Preto,4,MG,49751,0
Fiat,Palio,2025,2025,2117,Flex,Manual,Vermelho,2,ES,60391,1
Jeep,Renegade,2007,2007,134759,Flex,Manual,Cinza,4,BA,14067,0
Ford,Ranger,2021,2022,32870,Gasolina,Automático,Cinza,2,RS,46846,1
Fiat,Siena,2022,2022,45620,Flex,CVT,Cinza,4,DF,51201,1
Nissan,Sentra,2025,2025,1212,Flex,Automático,Prata,4,DF,79161,1
Hyundai,HB20,2018,2019,71362,Flex,Manual,Branco,4,BA,35774,1
Ford,EcoSport,2024,2025,1270,Flex,Manual,Cinza,4,ES,76494,1
Chevrolet,S10,2010,2011,235835,Flex,Automático,Vermelho,2,RJ,10000,0
Volkswagen,Amarok,2016,2016,123548,Flex,Manual,Marrom,4,RJ,12654,1
Fiat,Cronos,2021,2022,24294,Flex,Automático,Marrom,4,ES,56467,1
Honda,HR-V,2010,2011,158878,Flex,Manual,Vermelho,4,GO,13082,0
Volkswagen,Nivus,2013,2014,224190,Gasolina,Automático,Marrom,4,GO,10000,0
Chevrolet,Cobalt,2021,2022,44158,Flex,Automático,Marrom,4,ES,45019,1
Fiat,Argo,2016,2017,60207,Flex,Automatizado,Branco,4,RS,21350,0
Fiat,Punto,2012,2012,179046,Flex,Manual,Prata,4,SP,10000,0
Fiat,Argo,2022,2022,56169,Flex,Automático,Preto,4,BA,31725,1
Chevrolet,Cruze,2005,2005,153479,Flex,Automático,Prata,4,DF,10000,0
Toyota,Hilux,2013,2013,82788,Flex,Automático,Prata,2,MG,23589,0
Jeep,Renegade,2019,2020,57542,Flex,CVT,Preto,4,CE,59938,1
Renault,Sandero,2014,2014,142533,Flex,CVT,Prata,2,SP,10000,0
Fiat,Cronos,2008,2009,296424,Flex,Automático,Cinza,4,SP,10000,0
Volkswagen,Gol,2007,2008,252873,Flex,Manual,Branco,4,SC,10000,0
Honda,City,2013,2014,79884,Diesel,Automático,Cinza,4,MG,20582,1
Volkswagen,Nivus,2005,2005,228857,Flex,Manual,Branco,4,PR,10000,0
Jeep,Commander,2014,2014,168533,Flex,Automático,Vermelho,4,SP,16070,1
Citroën,C3,2006,2007,225721,Flex,Manual,Marrom,4,RS,10000,0
Renault,Kwid,2015,2015,148382,Gasolina,CVT,Prata,4,PE,10000,0
Volkswagen,Nivus,2007,2008,392857,Flex,Automático,Cinza,4,SP,10000,0
Nissan,Kicks,2019,2020,34850,Flex,Automático,Prata,4,RS,52360,1
Volkswagen,Up!,2011,2012,147726,Flex,Manual,Branco,4,BA,10000,0
Volkswagen,Nivus,2014,2015,153315,Flex,CVT,Azul,4,PE,10444,0
Hyundai,Creta,2008,2009,316374,Flex,Manual,Marrom,4,PR,10000,0
Honda,City,2006,2006,366867,Flex,Manual,Cinza,4,CE,10000,0
Toyota,RAV4,2007,2008,314881,Flex,Manual,Branco,4,GO,10000,0
Volkswagen,T-Cross,2006,2006,335598,Diesel,Manual,Azul,4,SP,10000,0
Peugeot,208,2019,2019,70222,Flex,Automático,Prata,4,DF,29511,1
Toyota,RAV4,2024,2024,12147,Gasolina,Manual,Vermelho,4,RJ,69303,1
Fiat,Strada,2014,2014,109623,Flex,CVT,Vermelho,2,BA,10644,1
Fiat,Siena,2024,2024,10599,Flex,Manual,Vermelho,2,PE,54389,0
Nissan,Sentra,2015,2016,195304,Gasolina,Manual,Branco,4,PR,10000,0
Renault,Clio,2025,2025,2252,Flex,Manual,Marrom,4,BA,57290,1
Renault,Oroch,2013,2014,116718,Diesel,Automático,Preto,4,PE,10000,0
Peugeot,3008,2006,2006,218692,Flex,Automático,Azul,4,SC,10000,0
Renault,Duster,2021,2021,72858,Flex,Manual,Azul,4,RJ,24795,1
Chevrolet,Cobalt,2006,2006,439706,Flex,CVT,Vermelho,4,BA,10000,0
Hyundai,HB20,2016,2017,102364,Gasolina,Manual,Cinza,2,PE,24119,0
Nissan,March,2006,2007,280836,Flex,Manual,Azul,4,SC,10000,0
Renault,Logan,2021,2021,43746,Flex,Manual,Vermelho,4,BA,31358,1
Volkswagen,Jetta,2021,2021,41333,Flex,Manual,Preto,4,ES,22667,0
Honda,City,2020,2021,29875,Flex,CVT,Cinza,4,SP,77521,1
Volkswagen,Voyage,2008,2009,225498,Diesel,Automático,Marrom,2,SC,10000,0
Jeep,Renegade,2009,2009,136749,Flex,Automatizado,Vermelho,4,PE,11118,1
Citroën,C3,2017,2018,117353,Flex,Manual,Vermelho,4,BA,16840,0
Renault,Clio,2010,2010,340651,Flex,Automático,Preto,2,MG,10000,0
Toyota,Corolla,2008,2009,295420,Flex,Manual,Cinza,4,CE,10000,0
Fiat,Pulse,2005,2005,284197,Gasolina,Manual,Vermelho,4,PE,10000,0
Chevrolet,Montana,2017,2017,125721,Flex,Automático,Marrom,4,SP,14413,1
Peugeot,2008,2018,2019,61533,Flex,Manual,Branco,2,RJ,34812,1
Toyota,RAV4,2010,2011,142563,Gasolina,Manual,Prata,2,BA,11939,0
Hyundai,HB20S,2021,2022,43155,Flex,Automatizado,Prata,4,RS,56129,1
Hyundai,HB20,2012,2013,170992,Gasolina,Manual,Vermelho,2,SP,10000,0
Volkswagen,Up!,2020,2021,61604,Flex,Automático,Branco,4,RS,20836,1
Jeep,Renegade,2016,2016,85232,Gasolina,Automático,Preto,4,ES,33602,0
Toyota,Hilux,2011,2011,171876,Flex,Manual,Azul,4,ES,10000,0
Toyota,Etios,2022,2023,29289,Flex,Manual,Prata,2,ES,98329,1
Peugeot,208,2011,2012,209005,Flex,Automático,Cinza,4,MG,10000,0
Citroën,C4 Cactus,2007,2007,253204,Gasolina,Automático,Marrom,4,GO,10000,0
Jeep,Commander,2005,2005,278873,Flex,Automático,Marrom,4,CE,10000,0
Jeep,Compass,2016,2016,144526,Flex,Manual,Azul,2,SP,16258,0
Ford,Ka,2019,2020,102200,Etanol,Manual,Marrom,4,GO,24640,0
Ford,Fiesta,2013,2013,232289,Flex,Automático,Branco,4,RS,10000,0
Renault,Duster,2008,2008,317310,Gasolina,Manual,Preto,2,PE,10000,0
Nissan,Sentra,2019,2019,85893,Flex,Manual,Branco,4,RS,23616,1
Jeep,Commander,2019,2019,51524,Flex,Manual,Azul,2,CE,44976,1
Chevrolet,S10,2017,2018,87450,Flex,Manual,Preto,4,GO,17977,0
Fiat,Palio,2025,2025,805,Flex,Automático,Azul,4,PE,45836,1
Hyundai,HB20,2018,2019,80306,Flex,Manual,Prata,2,RJ,35794,1
Fiat,Cronos,2009,2009,218125,Flex,Automático,Prata,4,SP,10000,0
Chevrolet,Cruze,2007,2007,410612,Gasolina,Manual,Marrom,4,RJ,10000,0
Nissan,March,2010,2011,258504,Flex,Automático,Branco,4,PE,10000,0
Fiat,Argo,2011,2012,165762,Gasolina,Manual,Cinza,4,RS,10000,0
Hyundai,HB20S,2006,2006,349318,Flex,Manual,Preto,4,SP,10000,0
Renault,Clio,2010,2010,245055,Flex,Manual,Vermelho,4,PR,10000,0
Chevrolet,Onix Plus,2008,2008,153950,Flex,Manual,Cinza,4,ES,10000,0
Ford,EcoSport,2017,2018,179124,Flex,CVT,Branco,4,PE,10178,1
Citroën,C3,2010,2011,155960,Flex,Automático,Cinza,4,RS,10000,0
Citroën,C3,2017,2017,107435,Flex,CVT,Cinza,4,PR,23198,0
Hyundai,Creta,2019,2019,95408,Diesel,Automático,Azul,4,GO,27486,1
Toyota,Hilux,2020,2021,35340,Flex,Manual,Marrom,4,BA,66243,1
Nissan,Frontier,2025,2025,1107,Flex,Manual,Marrom,4,SC,71802,1
Fiat,Pulse,2020,2021,77907,Flex,Manual,Branco,2,GO,26696,1
Hyundai,Tucson,2014,2015,78145,Flex,Manual,Marrom,4,DF,24036,1
Honda,Civic,2021,2021,33903,Flex,Manual,Preto,4,SC,62056,1
Jeep,Commander,2006,2007,215227,Flex,Automático,Azul,2,SP,10000,0
Fiat,Toro,2023,2024,21725,Flex,Automatizado,Prata,4,RS,38312,1
Hyundai,Tucson,2005,2006,243997,Gasolina,Automatizado,Marrom,4,PE,10000,0
Volkswagen,Up!,2016,2016,143707,Flex,Manual,Marrom,4,PR,10000,1
Fiat,Mobi,2019,2020,96479,Flex,Manual,Cinza,4,SC,21970,1
Nissan,Versa,2024,2024,13548,Flex,Manual,Vermelho,4,GO,60671,1
Ford,Focus,2016,2016,116829,Flex,Automático,Azul,4,MG,16197,0
Chevrolet,Cobalt,2009,2010,231838,Flex,CVT,Preto,4,SC,10000,0
Volkswagen,Polo,2005,2006,184543,Flex,Automático,Prata,2,CE,10000,0
Renault,Logan,2013,2014,151759,Flex,Automatizado,Vermelho,4,RJ,10000,0
Nissan,Frontier,2024,2024,15724,Flex,Manual,Prata,4,RJ,72501,1
Jeep,Commander,2011,2012,186992,Flex,Automático,Preto,4,SC,10581,0
Jeep,Compass,2007,2007,335157,Gasolina,Manual,Branco,4,PE,10000,0
Peugeot,208,2023,2024,21578,Flex,Automático,Marrom,4,GO,57916,1
Citroën,Aircross,2021,2021,53595,Flex,CVT,Prata,2,MG,37215,0
Honda,HR-V,2024,2025,1492,Flex,Manual,Prata,4,BA,93807,0
Toyota,Corolla,2013,2014,128783,Flex,Automático,Cinza,4,SC,22908,0
Toyota,Hilux,2006,2007,332777,Diesel,Manual,Prata,2,ES,10000,0
Ford,Ka,2024,2025,1006,Flex,Automático,Branco,4,PE,76732,0
Hyundai,Creta,2020,2021,41017,Flex,CVT,Marrom,4,SC,62690,1
Toyota,Corolla,2017,2018,96262,Flex,Manual,Marrom,4,DF,24910,1
Hyundai,Tucson,2017,2018,62375,Flex,Manual,Preto,4,RS,31664,0
Peugeot,3008,2017,2018,138482,Flex,Automático,Marrom,2,GO,16179,1
Renault,Captur,2007,2008,126764,Flex,Manual,Azul,4,ES,10000,0
Nissan,Frontier,2009,2010,166638,Gasolina,Automático,Vermelho,2,RS,10000,0
Nissan,March,2017,2017,71216,Etanol,Manual,Azul,4,SP,34907,0
Hyundai,i30,2015,2016,88500,Flex,Manual,Branco,2,RS,23164,0
Jeep,Compass,2013,2013,234751,Gasolina,Manual,Cinza,2,SP,10000,0
Hyundai,HB20S,2009,2010,118931,Gasolina,Manual,Prata,2,SC,13053,0
Hyundai,HB20S,2015,2016,159491,Flex,Manual,Prata,4,PE,10298,0
Hyundai,i30,2024,2024,25069,Flex,Automático,Branco,2,GO,81301,1
Fiat,Punto,2018,2018,75508,Flex,Automatizado,Vermelho,4,DF,26397,1
Nissan,Versa,2025,2025,1218,Diesel,Manual,Branco,2,MG,78882,0
Volkswagen,Tiguan,2013,2014,147533,Flex,Manual,Vermelho,4,PR,10000,0
Hyundai,HB20S,2015,2016,84453,Flex,Manual,Prata,4,GO,22412,1
Volkswagen,Jetta,2025,2025,888,Flex,Manual,Cinza,4,PE,54437,1
Toyota,RAV4,2024,2025,1147,Flex,Manual,Branco,2,BA,117759,1
Peugeot,2008,2006,2006,374162,Diesel,Manual,Preto,4,RS,10000,0
Chevrolet,Montana,2006,2007,216177,Flex,Manual,Preto,4,PR,10000,0
Citroën,C3,2010,2011,128744,Flex,Automático,Prata,2,GO,10000,0
Nissan,Versa,2014,2015,164303,Flex,Automático,Vermelho,2,SC,14972,0
Ford,Ka,2011,2012,310806,Flex,Manual,Cinza,4,CE,10000,0
Toyota,RAV4,2017,2017,80576,Flex,Manual,Preto,4,MG,25851,0
Nissan,Frontier,2009,2009,215293,Flex,Manual,Vermelho,4,DF,10000,0
Toyota,SW4,2021,2021,55468,Gasolina,Manual,Azul,2,CE,55006,0
Jeep,Compass,2009,2009,139985,Flex,Manual,Preto,4,SC,10000,0
Citroën,C3,2023,2023,26796,Flex,Automático,Prata,4,SP,53506,1
Volkswagen,Gol,2008,2008,211682,Flex,Manual,Azul,2,MG,10000,0
Peugeot,3008,2008,2008,237346,Flex,Manual,Vermelho,4,MG,10000,1
Fiat,Toro,2014,2014,146194,Flex,Automático,Azul,2,CE,10000,1
Hyundai,Tucson,2005,2005,168691,Flex,Automático,Preto,2,DF,10000,0
Ford,EcoSport,2018,2019,89272,Flex,Manual,Prata,2,RJ,18569,1
Volkswagen,Up!,2009,2010,127720,Gasolina,Manual,Preto,2,RS,10000,0
Toyota,RAV4,2010,2011,181768,Diesel,Automático,Preto,4,SC,10000,0
Hyundai,Tucson,2008,2009,206024,Gasolina,Manual,Cinza,4,RJ,10000,0
Peugeot,2008,2014,2015,164766,Flex,Manual,Preto,4,SC,10000,0
Ford,Focus,2011,2012,185534,Flex,Automatizado,Branco,4,MG,10000,0
Volkswagen,Voyage,2013,2013,79228,Flex,Manual,Azul,4,ES,11421,0
Hyundai,i30,2006,2007,139029,Flex,Manual,Cinza,4,MG,10000,0
Honda,City,2017,2017,86948,Flex,CVT,Branco,4,MG,31817,1
Chevrolet,Onix,2019,2020,91159,Flex,Manual,Branco,4,PR,23400,1
Peugeot,2008,2025,2025,882,Flex,Automático,Preto,4,SC,65415,1
Renault,Oroch,2024,2024,13295,Flex,Automatizado,Vermelho,4,MG,53858,1
Chevrolet,Onix,2009,2009,116719,Gasolina,Manual,Vermelho,4,RS,10000,0
Honda,HR-V,2008,2008,211966,Flex,Automático,Cinza,4,ES,10000,1
Nissan,Frontier,2020,2021,42382,Flex,Manual,Branco,4,PE,48549,0
Toyota,Corolla,2013,2014,146542,Flex,Manual,Cinza,4,RS,20214,0
Volkswagen,Fox,2012,2013,210133,Diesel,Manual,Cinza,4,GO,10000,0
Citroën,C4 Cactus,2024,2024,18506,Flex,CVT,Prata,4,BA,52705,1
Ford,Ka,2019,2020,124691,Flex,Automático,Cinza,4,SC,21128,0
Honda,City,2011,2011,157547,Flex,CVT,Cinza,4,MG,15009,0
Chevrolet,Tracker,2025,2025,2002,Flex,CVT,Branco,4,MG,58930,1
Fiat,Toro,2025,2025,1244,Diesel,CVT,Prata,4,RJ,53927,1
Nissan,Sentra,2013,2014,232126,Flex,Automático,Vermelho,4,SC,10000,0
Fiat,Palio,2012,2013,119544,Flex,Automático,Azul,4,PE,10753,0
Honda,HR-V,2014,2014,255982,Flex,Automático,Vermelho,4,CE,10000,0
Toyota,SW4,2017,2018,98000,Flex,Manual,Cinza,4,PE,24344,1
Fiat,Cronos,2012,2012,122030,Flex,Automático,Prata,4,PR,11369,1
Ford,Focus,2015,2016,109568,Flex,Automático,Prata,4,RS,19144,0
Renault,Logan,2018,2019,55022,Flex,Manual,Cinza,2,RS,27096,0
Toyota,Yaris,2023,2024,16772,Flex,Manual,Prata,4,DF,66075,0
Peugeot,208,2005,2005,275676,Flex,Manual,Azul,4,MG,10000,0
Ford,EcoSport,2023,2024,16294,Flex,Manual,Branco,4,PR,53642,1
Fiat,Mobi,2020,2021,64680,Flex,Automático,Preto,2,CE,29778,0
Nissan,Sentra,2013,2014,202531,Flex,CVT,Marrom,4,RS,10000,0
Fiat,Toro,2022,2023,37120,Flex,Manual,Azul,2,DF,32594,1
Chevrolet,Onix Plus,2011,2012,228412,Flex,Manual,Cinza,4,RS,10000,0
Toyota,Yaris,2015,2016,189902,Flex,Manual,Cinza,4,SC,11822,0
Fiat,Palio,2007,2007,264338,Etanol,Manual,Branco,4,SP,10000,0
Jeep,Commander,2021,2021,31847,Flex,Manual,Preto,4,GO,57514,1
Volkswagen,Amarok,2020,2021,30141,Diesel,Manual,Prata,2,GO,43620,1
Fiat,Pulse,2020,2021,82927,Gasolina,Manual,Branco,4,RJ,17414,0
Honda,Civic,2006,2007,344324,Flex,Manual,Azul,4,GO,10000,0
Citroën,C4 Cactus,2014,2015,89167,Flex,Automático,Cinza,4,RJ,21772,0
Toyota,Etios,2015,2016,86683,Flex,Automático,Preto,2,SC,33924,0
Toyota,Etios,2013,2013,234642,Gasolina,Manual,Prata,2,GO,10000,0
Citroën,C3,2022,2023,27707,Flex,Automático,Branco,4,PE,52389,1
Nissan,Sentra,2009,2010,156672,Gasolina,Automático,Marrom,4,ES,10000,1
Toyota,RAV4,2015,2015,147039,Flex,Automático,Vermelho,4,DF,13481,0
Chevrolet,Montana,2013,2013,163568,Gasolina,Manual,Marrom,4,BA,10000,0
Hyundai,HB20,2007,2008,191413,Flex,Manual,Prata,4,ES,10000,0
Honda,City,2008,2009,181384,Flex,Automático,Prata,4,SC,10696,0
Renault,Kwid,2007,2008,165881,Flex,Automático,Prata,4,BA,10000,0
Jeep,Commander,2017,2017,79569,Flex,Automático,Cinza,4,MG,43399,1
Ford,Ranger,2021,2022,40103,Flex,Manual,Branco,2,PR,36731,1
Renault,Oroch,2019,2020,40958,Flex,Manual,Marrom,4,BA,21479,1
Nissan,Frontier,2012,2012,79358,Flex,Manual,Preto,4,PR,19268,0
Renault,Kwid,2007,2008,291293,Gasolina,Manual,Azul,4,ES,10000,0
Honda,CR-V,2016,2016,85876,Flex,Manual,Prata,4,SP,27520,0
